,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
1120,Myofibroblasts,Neutrophils,Apoe,Sorl1,0.96828383,0.0,0.17669892,1.7757797,1.4660012,0.19821796,0.96510136,0.0,1.0,6.520650573820369e-09,8.317633882281478e-06
1232,Endothelial,undefined,B2m,Cd3d,0.68566376,0.0,0.18565847,0.9724498,0.58218616,0.170437,0.9659248,0.0,1.0,6.520650573820369e-09,1.0756441269358925e-05
1234,Endothelial,undefined,B2m,Cd3g,0.6794449,0.0,0.17049667,0.9424047,0.5788954,0.14304385,0.9644946,0.0,1.0,6.520650573820369e-09,1.1130379110263373e-05
374,Neutrophils,AT2,Scgb1a1,Lrp2,1.5122643,0.004,0.15271911,0.33317694,0.30269012,0.04695464,0.9625602,0.0,1.0,1.3866472285603572e-07,1.3508045335178833e-05
121,Myofibroblasts,AT1,Apoe,Sdc2,0.9591458,0.0,0.14306065,1.907629,1.4712639,0.35253415,0.961365,0.0,1.0,6.520650573820369e-09,1.8463727893362496e-05
618,AT1,Endothelial,Gpc3,Flt1,0.48680592,0.0,0.14670843,1.8860482,0.92542654,0.52157104,0.9618299,0.0,1.0,6.520650573820369e-09,1.8463727893362496e-05
894,Myofibroblasts,Myofibroblasts,Apoe,Trem2,0.95761305,0.0,0.13741854,1.9617693,1.4648535,0.33442205,0.96061075,0.0,1.0,6.520650573820369e-09,1.9949238308856537e-05
483,AT1,Dendritic,Copa,Cd74,1.0944619,0.0,0.12573814,1.1606313,1.3235558,0.18853396,0.9588954,0.0,1.0,6.520650573820369e-09,2.4191183554405412e-05
1002,AT1,Neutrophils,C3,Itgam,0.48420852,0.0,0.11939414,1.8436279,0.89305335,0.32199776,0.9578629,0.0,1.0,6.520650573820369e-09,3.131905928790887e-05
691,Myofibroblasts,Endothelial,C1qa,Cd93,0.44406593,0.0,0.15069659,2.0784152,0.8335685,0.46971592,0.9623192,0.0,1.0,6.520650573820369e-09,3.1954470719026745e-05
608,AT1,Endothelial,Col1a1,Cd36,0.43420365,0.0,0.120759115,1.2669003,0.5781679,0.39276785,0.95809174,0.0,1.0,6.520650573820369e-09,3.3244406901578345e-05
612,AT1,Endothelial,Sparc,Eng,0.40600294,0.0,0.11446112,1.5756743,0.69331145,0.47320154,0.9570031,0.0,1.0,6.520650573820369e-09,4.079449156646045e-05
750,AT1,Myofibroblasts,C3,Lrp1,0.47173795,0.0,0.098857135,1.523799,0.85479426,0.29875645,0.9538848,0.0,1.0,6.520650573820369e-09,5.3978097553854884e-05
912,Myofibroblasts,Myofibroblasts,C1qb,Lrp1,0.46649137,0.0,0.09759736,1.7103201,0.8233348,0.26142824,0.95360184,0.0,1.0,6.520650573820369e-09,5.4810879127476856e-05
348,Myofibroblasts,AT2,Apoe,Lrp2,0.94596547,0.0,0.09454224,1.5569459,1.4280032,0.17543858,0.9528932,0.0,1.0,6.520650573820369e-09,5.9070211968805235e-05
753,AT1,Myofibroblasts,Gpc3,Lrp1,0.45365754,0.0,0.09451578,1.7038713,0.8541142,0.3416322,0.9528869,0.0,1.0,6.520650573820369e-09,5.9941161466915645e-05
621,AT1,Endothelial,Col1a2,Cd93,0.34452593,0.0,0.10522033,1.7263162,0.74828315,0.57517004,0.9552375,0.0,1.0,6.520650573820369e-09,6.348855939359979e-05
731,AT1,Myofibroblasts,Vim,Cd44,0.3473095,0.0,0.091012724,0.32078052,0.25501496,0.047897454,0.95203185,0.0,1.0,6.120454079502937e-08,6.439130738411594e-05
1131,Neutrophils,Neutrophils,Hp,Itgb2,0.32993853,0.0,0.0865389,0.77992046,0.4377593,0.11209864,0.9508677,0.0,1.0,6.520650573820369e-09,8.378122584523444e-05
722,AT1,Myofibroblasts,Col1a2,Cd44,0.31792516,0.0,0.08071466,1.2129419,0.59477377,0.2198818,0.9492144,0.0,1.0,6.520650573820369e-09,9.224885193347948e-05
909,Myofibroblasts,Myofibroblasts,Pf4,Lrp1,0.36470497,0.0,0.073157035,1.8470902,0.68081427,0.29573223,0.94679177,0.0,1.0,6.520650573820369e-09,0.00011398810472827727
754,AT1,Myofibroblasts,Serping1,Lrp1,0.3527791,0.0,0.07029347,1.5629965,0.628013,0.31215614,0.94577694,0.0,1.0,6.520650573820369e-09,0.00012762103563084118
1069,Dendritic,Neutrophils,Rps19,C5ar1,0.49984956,0.0,0.069796264,0.4709674,0.30197427,0.07106206,0.94559467,0.0,1.0,1.7674680548576493e-08,0.00013018220414572673
1128,Neutrophils,Neutrophils,Hp,Itgam,0.3121686,0.0,0.06950323,1.0413374,0.43798935,0.13651443,0.94548637,0.0,1.0,6.520650573820369e-09,0.00013538063234526634
1168,undefined,Neutrophils,Ccl5,Ccr1,0.29181558,0.0,0.07662198,1.3002439,0.8705429,0.49208814,0.94794536,0.0,1.0,6.520650573820369e-09,0.00014744795407598004
799,AT2,Myofibroblasts,Sftpd,Sirpa,0.4770131,0.0,0.065265216,0.33185694,0.7367263,0.17671178,0.94384205,0.0,1.0,4.6679381065219747e-08,0.00015577802687743498
824,Alveolar fibroblast,Myofibroblasts,Hsp90b1,Lrp1,0.32601497,0.0,0.06386703,0.4139006,0.21950021,0.064519756,0.9432654,0.0,1.0,2.7435578344718427e-08,0.00016578470731098364
857,Endothelial,Myofibroblasts,Timp3,Cd44,0.28639558,0.0,0.06966476,0.6697509,0.43912345,0.100788966,0.94554615,0.0,1.0,6.520650573820369e-09,0.00016723956931846145
729,AT1,Myofibroblasts,Timp2,Cd44,0.28090733,0.0,0.06774134,1.04229,0.4207108,0.14612445,0.9448208,0.0,1.0,6.520650573820369e-09,0.0001851918167889502
692,Myofibroblasts,Endothelial,Spp1,S1pr1,0.27925417,0.0,0.077524416,1.1747558,0.70818025,0.29005772,0.9482335,0.0,1.0,6.520650573820369e-09,0.00019294095883939816
1121,Myofibroblasts,Neutrophils,Gnai2,Cxcr2,0.27433717,0.0,0.062313363,2.82766,0.5155692,0.20144236,0.9426028,0.0,1.0,6.520650573820369e-09,0.00021382903208455294
773,AT1,Myofibroblasts,C3,C3ar1,0.4466728,0.0,0.0575789,1.795486,0.8244687,0.5548002,0.9404275,0.0,1.0,6.520650573820369e-09,0.00022383020792737646
913,Myofibroblasts,Myofibroblasts,Psap,Lrp1,0.29643446,0.0,0.05676435,0.5819357,0.32965297,0.092308804,0.9400271,0.0,1.0,6.520650573820369e-09,0.0002340589965173932
1279,undefined,undefined,H2-K1,Cd3d,0.26289308,0.0,0.056882065,0.65103763,0.2836461,0.14499803,0.9400855,0.0,1.0,6.520650573820369e-09,0.0002606263566323269
1147,Neutrophils,Neutrophils,Vasp,Cxcr2,0.26248145,0.0,0.053110365,2.9687073,0.55509335,0.30865926,0.9381239,0.0,1.0,6.520650573820369e-09,0.00027351088101402245
1040,AT2,Neutrophils,Lyz1,Itgal,0.25924215,0.0,0.057545293,0.6415621,0.6433886,0.24492562,0.94041115,0.0,1.0,6.520650573820369e-09,0.0002829035487377271
681,Myofibroblasts,Endothelial,F13a1,Itgb1,0.25896478,0.0,0.065021366,1.3267765,0.39407688,0.1962323,0.9437428,0.0,1.0,6.520650573820369e-09,0.00028480102206077617
