"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Lung","Lung","Normal cell","Lgr5+ cell","CD11b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lgr6+ cell","CD11b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cd164l2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Clara cell","Cd200","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cd200","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Cd248","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","Cd248","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cd24a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cd300lf","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lgr5+ cell","CD31","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lgr6+ cell","CD31","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2+ cell","Cd34","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cd34","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lee et al.Cell.C","Cd34","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cd36","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Cd36","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Cd40","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lgr5+ cell","CD45","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lgr6+ cell","CD45","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cd47","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Mesenchymal progenitor cell","CD52","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Cd53","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Cd53","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Cd68","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Cd68","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Cd86","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Cd86","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cd93","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cd97","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cdc42bpa","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cdc42ep1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Cdc7","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Cdca3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cdh1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Cdh11","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cdh13","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cdh16","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cdh2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Cdh2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cdh5","Single-cell sequencing","2","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cdh8","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cdkn1c","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Cdo1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cecr2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Celsr1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Cenpa","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Cenpe","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Cenpf","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Cep57","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Ces1d","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Cfh","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cfi","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cftr","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cgn","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Clara cell","Chad","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Chchd10","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Chdh","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Chi3l1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Chil1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Chn2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Chst15","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Chsy1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cited2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Ckap4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Ckb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","Ckb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Cks2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Mesenchymal progenitor cell","Cks2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Clcn3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Clcn4-2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cldn10","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Wnt2+ cell","Cldn15","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cldn18","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cldn3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cldn4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cldn5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cldn6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cldn7","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Clec14a","Single-cell sequencing","2","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Clec1a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2+ cell","Clec3b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Clec4a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Clec4a2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Clec4a2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Clec7a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Clec7a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Clec9a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Clic3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Clic5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type I pneumocyte","Clic5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Clic6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Clmn","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Clmn","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Clu","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cmip","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Cmklr1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2-Palpha+ cell","Cnn1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cnn3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Cnot6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cobll1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Col13a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Col14a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Col16a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Col16a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2+ cell","Col1a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Col1a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2+ cell","Col1a2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Clara cell","Col23a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Col25a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Col3a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Col4a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type I pneumocyte","Col4a3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Col4a4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Col4a5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Col4a6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Col5a2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Col6a1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Col6a2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Col6a3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Col9a3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Colec12","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Commd1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Copg2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Coprs","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Coro1a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Coro1a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Cotl1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Cotl1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Cox4i2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Cp","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cpm","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cpne8","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cpq","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Crb3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Creb3l4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Crip2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Crlf1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Crot","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Csf1r","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Csf1r","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Csf2rb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Csf2rb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Csk","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lee et al.Cell.E","Cspg4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Csrp1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Csrp2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Cst3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Cst3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Ctla2a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Ctnnd2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Ctsb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Ctsb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Ctsc","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Ctsc","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Ctsd","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Ctsd","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Ctsh","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Ctss","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Ctss","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cxadr","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Mesothelial cell","Cxcl13","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Cxcl15","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cxx1a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cxx1b","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Cybb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Cybb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2+ cell","Cygb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cym","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Clara cell","Cyp2f2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cyp2j6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Cyp7b1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cystm1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Cytl1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Cyyr1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","D10Wsu52e","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","D17Wsu92e","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","D230002A01Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","D630045J12Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","D930015E06Rik","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Daam1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Dab1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Dab2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Dab2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Dbc1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Dclk1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2+ cell","Dcn","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Dctd","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Dctpp1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Clara cell","Dcxr","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Dcxr","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Ddah2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Degs2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Dennd4a","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Axin2-Palpha+ cell","Des","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Dgkd","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Dhx9","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Dlgap5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Dlk1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lee et al.Cell.B","Dlk1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Dlk1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Dlk1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Dmxl2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Dnalc4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Ciliated cell","Dnph1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Dock4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Dpep1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Dpp4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Dpt","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type I pneumocyte","Dpysl2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Dpysl3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Dram1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Dsg2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Dsp","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Dtna","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lipofibroblast","Ear1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lipofibroblast","Ear2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pericyte","Ebf1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Ecscr","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Edil3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Edn1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Edn3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Ednrb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","Ednrb","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Ciliated cell","Efhc1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Immune cell","Efhd2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myeloid cell","Efhd2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Efna1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Egfl6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type II pneumocyte","Egfl6","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Egfl7","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Egflam","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Ehf","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Eif4ebp1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Elf3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Elf5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Elk3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Emcn","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Emilin1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Eml1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Type I pneumocyte","Emp2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Enc1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Enc1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Myofibroblast","Enc1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Smooth muscle cell","Enc1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Ciliated cell","Enkur","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Enox2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Matrix fibroblast","Enpep","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Pdgfrapha+ cell","Enpp2","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Enpp4","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Entpd3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Entpd3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Endothelial cell","Epas1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Epb4.1l1","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Epb4.1l5","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Epithelial cell","Epcam","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Lee et al.Cell.A","Epcam","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Fibroblast","Epha3","Single-cell sequencing","1","DETAIL"
"Mouse","Lung","Lung","Normal cell","Brush cell (Tuft cell)","Ephb4","Single-cell sequencing","1","DETAIL"
